#	Sample	Instrument	Status	Method	Vol (F/A)	Note Vol	Daily ATP	Max TSB	Max FTM	Max CV%	PDF Pages	Result	EagleTrax URL
1	ETX-260914-0288	2222	Data Review	DI	A:15	-	85087	993	1599	5%	10,11	PASS	https://etrax.eagleanalytical.com/SubmissionTest/Details/9skbGZ%24OxO2lE%24JVQa9TFQ__
2	ETX-260914-0485	2222	Data Review	DI	A:25	-	85087	513	679	29%	16,17	PASS	https://etrax.eagleanalytical.com/SubmissionTest/Details/13Hwg7chz7l%24Dd1Yf5oVeA__
3	ETX-260914-0534	2222	Data Review	DI	A:25	-	85087	198	659	10%	12,13	PASS	https://etrax.eagleanalytical.com/SubmissionTest/Details/TqjeqBLcGcYuU3thylzuyQ__
4	ETX-260915-0493	2222	Data Review	MF	F:10	-	85087	2449	7416	2%	8,9	PASS	https://etrax.eagleanalytical.com/SubmissionTest/Details/g5JbGPtMMYshKpHHHMDfiA__
5	ETX-260915-0606	2222	Data Review	MF	F:10	-	85087	3096	7489	2%	8,9	PASS	https://etrax.eagleanalytical.com/SubmissionTest/Details/-TEZr0-M8D6i50lMQTuV8g__
6	ETX-260916-0225	2222	Data Review	DI	A:4.8	-	85087	894	1834	3%	10,11	PASS	https://etrax.eagleanalytical.com/SubmissionTest/Details/MJ1WlHbjnPSFCf3SHC0oNw__
7	ETX-260916-0404	2222	Data Review	DI	A:25	-	85087	941	1618	4%	10,11	PASS	https://etrax.eagleanalytical.com/SubmissionTest/Details/Mi6T%24%24hvwNHqwjHeb38VVA__
8	ETX-260916-0493	2222	Data Review	MF	F:5	-	85087	2641	5946	7%	4,5	PASS	https://etrax.eagleanalytical.com/SubmissionTest/Details/jxpVd4ax1xTw1fdWyaQF2Q__
9	ETX-260916-0513	2222	Data Review	DI	A:12.4	-	85087	990	1715	3%	10,11	PASS	https://etrax.eagleanalytical.com/SubmissionTest/Details/Pgb7Levgvxy-MRW2S27wtQ__
10	ETX-260916-0774	2222	Data Review	DI	A:120	-	85087	676	2109	4%	10,11	PASS	https://etrax.eagleanalytical.com/SubmissionTest/Details/GY-PfLFWHR1bv7wsQgdbkQ__
11	ETX-260916-0865	2222	Data Review	DI	A:25	-	85087	876	1716	8%	10,11	PASS	https://etrax.eagleanalytical.com/SubmissionTest/Details/2BUqF%24ELpqX7ak01tcva4w__
12	ETX-260917-0214	2222	Data Review	DI	A:55	-	85087	369	589	8%	22,23	PASS	https://etrax.eagleanalytical.com/SubmissionTest/Details/FqpEOBMl-VgPjfzTWkxXqw__
13	ETX-260917-0253	2222	Data Review	DI	A:20	-	85087	536	706	11%	22,23	PASS	https://etrax.eagleanalytical.com/SubmissionTest/Details/crPHxVwVZdo0rcZK%24VKvGw__
14	ETX-260917-0336	2222	Data Review	DI	A:30	-	85087	601	1087	5%	16,17	PASS	https://etrax.eagleanalytical.com/SubmissionTest/Details/oTRYi8tV2we-aam4LQzgNA__
15	ETX-260917-0392	2222	Data Review	MF	F:25	-	85087	2774	8387	1%	6,7	PASS	https://etrax.eagleanalytical.com/SubmissionTest/Details/rWckBLb0LWr5W0ZnJJHq3A__
16	ETX-260917-0403	2222	Data Review	DI	A:25	-	85087	1187	1145	4%	14,15	PASS	https://etrax.eagleanalytical.com/SubmissionTest/Details/6EU3cG4BAks8YJzOtHFFpg__
17	ETX-260917-0411	2222	Data Review	DI	A:50	-	85087	295	617	19%	16,17	PASS	https://etrax.eagleanalytical.com/SubmissionTest/Details/rtjjFq4Vc7CSxXbjEEG1tw__
18	ETX-260917-0429	2222	Data Review	DI	A:25	-	85087	396	960	7%	22,23	PASS	https://etrax.eagleanalytical.com/SubmissionTest/Details/HopV%24m6twgKGcp1hx1-oxw__
19	ETX-260917-0648	2222	Data Review	DI	A:30	-	85087	88	171	7%	18,19	PASS	https://etrax.eagleanalytical.com/SubmissionTest/Details/UgOV0r7wbZUfGTztSkZMdA__
20	ETX-260917-0659	2222	Data Review	DI	A:20	-	85087	266	526	5%	22,23	PASS	https://etrax.eagleanalytical.com/SubmissionTest/Details/V8fvSrZHkwDPpiYXyHJIkQ__
21	ETX-260917-0663	2222	Data Review	DI	A:20	-	85087	258	432	2%	22,23	PASS	https://etrax.eagleanalytical.com/SubmissionTest/Details/tZVPiKg9bZoPuM7JmbjGew__
22	ETX-260917-0667	2222	Data Review	DI	A:20	-	85087	252	475	4%	22,23	PASS	https://etrax.eagleanalytical.com/SubmissionTest/Details/xtjZVStrvzwmWFA-4s9VLQ__
23	ETX-260917-0753	2222	Data Review	MF	F:4	-	85087	2762	6725	2%	20,21	PASS	https://etrax.eagleanalytical.com/SubmissionTest/Details/Ese1QwQ3W1vQPFbh73zGqg__
