#	Sample	Instrument	Audit Result	Method	Filtered Vol	Added Vol	Live Status	PDF ATP	LIMS ATP	PDF TSB	LIMS TSB	PDF FTM	LIMS FTM	Max CV%	Titan ID	Discrepancies
1	ETX-260827-0291	#2222	PASS	Direct Inoculation		40	Data Review	92940	92940	2812	2812	9424	9424	2%	T0001095545	None
2	ETX-260831-0196	#2222	PASS	Membrane Filtration	12		Data Review	92940	92940	2645	2645	5117	5117	0%	T0001099293	None
3	ETX-260831-0106	#2222	PASS	Membrane Filtration	12		Data Review	92940	92940	3220	3220	5107	5107	3%	T0001099295	None
4	ETX-260831-0110	#2222	PASS	Membrane Filtration	12		Data Review	92940	92940	3196	3196	5195	5195	2%	T0001099303	None
5	ETX-260831-0118	#2222	PASS	Membrane Filtration	12		Data Review	92940	92940	2733	2733	5357	5357	1%	T0001099318	None
6	ETX-260831-0146	#2011	PASS	Membrane Filtration	20		Data Review	92099	92099	3011	3011	7462	7462	N/A	T0001099352	None
7	ETX-260831-0134	#2011	PASS	Membrane Filtration	20		Data Review	92099	92099	2429	2429	7015	7015	N/A	T0001099354	None
8	ETX-260831-0137	#2011	PASS	Membrane Filtration	20		Data Review	92099	92099	2910	2910	7982	7982	N/A	T0001099370	None
9	ETX-260831-0140	#2011	PASS	Membrane Filtration	20		Data Review	92099	92099	2662	2662	10960	10960	N/A	T0001099375	None
10	ETX-260831-0180	#2222	PASS	Membrane Filtration	10		Data Review	92940	92940	2344	2344	5422	5422	2%	T0001099391	None
11	ETX-260831-0210	#2222	PASS	Membrane Filtration	12		Data Review	92940	92940	3384	3384	5654	5654	N/A	T0001099392	None
12	ETX-260831-0149	#2222	PASS	Membrane Filtration	12		Data Review	92940	92940	3290	3290	5640	5640	1%	T0001099403	None
13	ETX-260831-0155	#2222	PASS	Membrane Filtration	12		Data Review	92940	92940	3103	3103	5505	5505	2%	T0001099407	None
14	ETX-260831-0171	#2222	PASS	Membrane Filtration	12		Data Review	92940	92940	2745	2745	6075	6075	0%	T0001099429	None
15	ETX-260831-0173	#2222	PASS	Membrane Filtration	12		Data Review	92940	92940	3087	3087	5797	5797	1%	T0001099443	None
16	ETX-260831-0183	#2222	PASS	Membrane Filtration	12		Data Review	92940	92940	3293	3293	5169	5169	2%	T0001099457	None
17	ETX-260831-0192	#2222	PASS	Membrane Filtration	12		Data Review	92940	92940	3260	3260	5240	5240	0%	T0001099467	None
18	ETX-260831-0194	#2222	PASS	Membrane Filtration	10		Data Review	92940	92940	2637	2637	12781	12781	4%	T0001099473	None
19	ETX-260831-0195	#2011	PASS	Membrane Filtration	40		Data Review	92099	92099	2714	2714	7914	7914	N/A	T0001099475	None
20	ETX-260831-0198	#2222	PASS	Membrane Filtration	12		Data Review	92940	92940	2537	2537	5241	5241	2%	T0001099479	None
21	ETX-260831-0203	#2011	PASS	Direct Inoculation		100	Data Review	92099	92099	688	688	715	715	N/A	T0001099486	None
22	ETX-260831-0202	#2222	PASS	Membrane Filtration	12		Data Review	92940	92940	3236	3236	5658	5658	2%	T0001099490	None
23	ETX-260831-0216	#2222	PASS	Membrane Filtration	12		Data Review	92940	92940	2543	2543	6322	6322	3%	T0001099496	None
24	ETX-260831-0207	#2222	PASS	Membrane Filtration	12		Data Review	92940	92940	3993	3993	5389	5389	N/A	T0001099499	None
25	ETX-260831-0208	#2222	PASS	Membrane Filtration	12		Data Review	92940	92940	3460	3460	7278	7278	4%	T0001099511	None
26	ETX-260831-0214	#2222	PASS	Membrane Filtration	12		Data Review	92940	92940	3274	3274	5074	5074	0%	T0001099519	None
27	ETX-260831-0233	#2222	PASS	Membrane Filtration	12		Data Review	92940	92940	3159	3159	5286	5286	3%	T0001099530	None
28	ETX-260831-0224	#2222	PASS	Membrane Filtration	12		Data Review	92940	92940	3359	3359	5398	5398	N/A	T0001099534	None
29	ETX-260831-0229	#2222	PASS	Membrane Filtration	12		Data Review	92940	92940	3109	3109	5066	5066	1%	T0001099547	None
30	ETX-260831-0258	#2222	PASS	Membrane Filtration	10		Data Review	92940	92940	2749	2749	5596	5596	N/A	T0001099570	None
31	ETX-260831-0249	#2011	PASS	Membrane Filtration	20		Data Review	92099	92099	2671	2671	7214	7214	N/A	T0001099577	None
32	ETX-260831-0267	#2011	PASS	Membrane Filtration	20		Data Review	92099	92099	3030	3030	6611	6611	N/A	T0001099622	None
33	ETX-260831-0276	#2011	PASS	Membrane Filtration	20		Data Review	92099	92099	2864	2864	8556	8556	N/A	T0001099625	None
34	ETX-260831-0274	#2011	PASS	Membrane Filtration	20		Data Review	92099	92099	2551	2551	9211	9211	N/A	T0001099636	None
35	ETX-260901-0038	#2011	PASS	Membrane Filtration	20		Data Review	92099	92099	3074	3074	8304	8304	7%	T0001100914	None
36	ETX-260901-0037	#2011	PASS	Membrane Filtration	20		Data Review	92099	92099	2487	2487	7847	7847	N/A	T0001100918	None
37	ETX-260901-0047	#2222	PASS	Membrane Filtration	12		Data Review	92940	92940	3071	3071	5710	5710	2%	T0001100919	None
38	ETX-260901-0039	#2222	PASS	Membrane Filtration	12		Data Review	92940	92940	2548	2548	6074	6074	1%	T0001100921	None
